ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
0.0138,0.0028,0.05303,0.688201,0.464649,0.0249,0.0166,-0.0099,0.006944,0.027225,0.098991
-0.0104,0.0029,0.046722,0.659281,0.481935,0.0257,0.0168,0.0087,0,0.031064,-0.051183
0.0045,0.0031,0.048005,0.631148,0.553147,0.0253,0.0188,-0.002,0.006897,0.035847,-0.13961
0.0042,0.002,0.056686,0.655462,0.617418,0.0263,0.0225,0.0025,0,0.040959,-0.102722
0.0096,0.0009,0.063916,0.681034,0.69242,0.0269,0.0258,-0.0029,-0.006849,0.042031,-0.084289
0.0082,0.0011,0.072007,0.707965,0.707489,0.0262,0.0252,-0.0015,-0.006897,0.031775,-0.045828
0.0057,0.001,0.075197,0.73684,0.701567,0.0261,0.0272,-0.0019,-0.013889,0.038802,0.012163
0.0052,0.0008,0.073589,0.768732,0.659519,0.026,0.0277,-0.0042,-0.007042,0.032248,0.065757
-0.0037,0.0008,0.068783,0.804124,0.89237,0.0265,0.0308,-0.005,0,0.033845,-0.254106
0.021,0.0009,0.090196,0.848709,0.790793,0.025,0.0317,-0.0072,0.007092,0.027161,0.142667
0.0044,0.0005,0.077663,0.900398,0.819566,0.0252,0.0284,-0.0034,-0.007042,0.029977,-0.039973
0.0004,0.0005,0.079827,0.961039,0.659546,0.0254,0.0299,0.0091,0,0.016745,0.253519
0.0043,0.0007,0.061707,0.99074,0.625354,0.025,0.0241,0.0023,0,0.017056,0.074738
0,0.0006,0.055376,1.024876,0.63402,0.0253,0.0231,-0.0019,0,0.014308,-0.025901
0.0022,0.0008,0.054726,1.064516,0.624249,0.0251,0.0244,0.0087,0,0.011896,0.016932
0.0087,0.0005,0.049837,0.973404,0.581955,0.0249,0.0221,-0.0007,-0.007092,0.007933,0.07896
-0.0022,0.0004,0.042521,0.884211,0.589374,0.0253,0.0213,0.0059,0,0.008535,-0.026207
0.008,0.0003,0.040063,0.796875,0.572039,0.0249,0.0219,0.0042,0,0.005722,0.04481
0.0059,0.0003,0.038859,0.773869,0.614218,0.0246,0.0211,-0.0037,0,-0.003601,-0.070506
0.008,0.0003,0.042005,0.752427,0.599457,0.0242,0.0205,-0.0016,-0.007143,0.000615,0.039292
0.0125,0.0003,0.040945,0.732394,0.660649,0.0234,0.019,-0.0103,0,-0.001261,-0.134821
0.0118,0.0003,0.047662,0.720183,0.678455,0.0226,0.0213,-0.0054,-0.007194,-0.001883,-0.006611
0.0171,0.0003,0.04823,0.708521,0.630337,0.0214,0.021,-0.0122,0,-0.002354,0.069557
-0.0027,0.0003,0.04569,0.697368,0.666769,0.0218,0.0199,0.0062,0,-0.000086,-0.06181
0.0113,0.0004,0.049724,0.695279,0.607985,0.0209,0.0195,-0.012,0,-0.001562,0.11131
-0.0201,0.0005,0.045681,0.693278,0.648017,0.0226,0.0192,-0.0191,0,-0.003007,-0.067551
-0.0545,0.0014,0.050089,0.691358,0.580048,0.0264,0.0175,0.0696,0.021739,-0.00211,0.181167
0.041,0.0005,0.044547,0.690476,0.573479,0.0242,0.0173,-0.0173,-0.007092,-0.001853,-0.016887
0.0162,0.0005,0.046765,0.689655,0.597845,0.0231,0.0185,-0.0083,0,-0.001699,-0.040532
0.0145,0.0004,0.05082,0.688889,0.580705,0.0222,0.0198,-0.0067,0,0.002551,0.028177
-0.0017,0.0001,0.049907,0.670251,0.599326,0.0228,0.0198,0.0066,-0.007143,0.007773,-0.035927
0.0027,0.0002,0.052006,0.652778,0.594377,0.0226,0.0197,-0.0006,0.007194,0.00484,0.013139
0.0177,0.0002,0.051937,0.636364,0.64796,0.0213,0.0196,-0.0128,0,0.005679,0.013561
-0.0035,0.0002,0.051973,0.632449,0.644075,0.0218,0.0192,-0.0057,0,0.005849,-0.004478
-0.0299,0.0006,0.052775,0.628666,0.822578,0.024,0.0201,0.0278,0,0.00661,-0.23148
0.0258,0.001,0.070119,0.625,0.783221,0.0217,0.0215,-0.0137,0.007143,0.00637,0.083035
0.0052,0.0005,0.065798,0.62342,0.757888,0.0219,0.0192,-0.0031,-0.007092,0.008109,0.03309
0.0028,0.0004,0.064464,0.621873,0.741775,0.0219,0.0191,-0.0021,0,0.009086,0.035421
0.011,0.0005,0.063447,0.62037,0.720748,0.021,0.0184,-0.0018,0,0.009647,0.014221
